Categoria,Tipo,Itens
Alinhamento,Imagem,"elements aligned along a grid, structured layout, clean alignment, horizontally aligned elements, vertical alignment for balance"
Branding - Flat Lay,Ambos,"flat lay photography, arranged objects, overhead shot, clean composition, minimalistic design"
Branding - Minimalista,Ambos,"minimalist branding shot, product isolated, ample white space, clean lines, modern aesthetic"
Branding - Mockup de Produto,Ambos,"product mockup, blank label, realistic shadows, isolated on plain background, photorealistic"
Campanha - Sazonal (Natal),Ambos,"seasonal campaign, Christmas elements, festive lights, red-green palette, cozy atmosphere"
Campanha - Sazonal (Páscoa),Ambos,"seasonal campaign, Easter elements, pastel colors, springtime flowers, joyful mood"
Características - Cabelo (Cor),Ambos,"blonde hair, jet black hair, fiery red hair, silver-gray hair"
Características - Cabelo (Textura),Ambos,"curly hair, straight hair, wavy hair, coily hair"
Características - Cor da Pele (Clara),Ambos,"fair skin, porcelain complexion, light freckles"
Características - Cor da Pele (Escura),Ambos,"dark skin, rich melanin, glowing highlights"
Características - Cor da Pele (Média),Ambos,"olive skin, warm undertones, smooth texture"
Características - Corpo (Altura),Ambos,"tall stature, average height, petite build"
Características - Corpo (Constituição),Ambos,"muscular build, slender frame, curvy figure"
Características - Lábios,Ambos,"full lips, thin lips, heart-shaped lips, glossy lips"
Características - Mandíbula/Queixo,Ambos,"strong jawline, rounded chin, cleft chin"
Características - Mãos e Pés,Ambos,"long fingers, calloused hands, small feet, arched toes"
Características - Nariz,Ambos,"button nose, aquiline nose, broad nose, upturned nose"
Características - Olhos (Cor),Ambos,"emerald green eyes, deep brown eyes, icy blue eyes, amber eyes"
Características - Olhos (Forma),Ambos,"almond-shaped eyes, round eyes, hooded eyes"
Características - Orelhas,Ambos,"pointed ears, round ears, large ears, small ears"
Características - Pele (Textura),Ambos,"smooth skin, rough patches, freckled complexion, visible pores"
Características - Postura,Ambos,"upright posture, slouched stance, confident gait"
Contraste,Imagem,"high contrast between foreground and background, contrasting colors (red and green, black and white), sharp contrast in textures (smooth vs rough), contrast in sizes (small vs large elements), light subject against dark background"
Câmera - Configuração (Vídeo),Vídeo,"cinematic camera setup: time-lapse, slow motion, hyperlapse, zoom in, tilt"
Câmera - Movimento (Vídeo),Vídeo,"camera movement: dolly zoom, handheld, drone shot, tracking shot"
Design Sonoro - City Ambience,Ambos,"City ambiance with car horns, footsteps, distant chatter"
Design Sonoro - Forest Ambience,Ambos,"Ambient forest soundscape with birds, rustling leaves, distant waterfalls"
Design Sonoro - Sci-fi Laser,Ambos,Sci-fi laser gun firing with high-pitched zap and mechanical reload
Design Sonoro - Sword Sound,Ambos,Sound of sword unsheathing followed by swift slash
Distorções Visuais - Glitch Art (Landscape),Ambos,Landscape corrupted with data moshing effects and RGB splits
Distorções Visuais - Glitch Art (Portrait),Ambos,"Portrait with digital glitches, pixelation, vibrant color distortions"
Distorções Visuais - Surreal (Melting Clock),Ambos,"Melting clock in desert landscape, inspired by surrealist art"
Distorções Visuais - Surreal (Twisting Buildings),Ambos,Cityscape with buildings twisting and spiraling into the sky
Editorial - Fashion,Ambos,"high fashion editorial, avant-garde styling, unusual settings, dramatic contrast, monochrome palette"
Editorial - Lifestyle,Ambos,"lifestyle editorial, candid moments, natural settings, cozy vibes, real-life storytelling"
Editorial - Retrato,Ambos,"editorial portrait, expressive pose, artistic lighting, storytelling composition, magazine cover"
Editorial - Viagem,Ambos,"travel editorial, scenic landscape, local culture, vibrant atmosphere, candid moments"
Equilíbrio - Assimétrico,Imagem,"asymmetrical composition, visual balance with unequal elements, one large element balanced by several smaller elements, dynamic asymmetry"
Equilíbrio - Simétrico,Imagem,"symmetrical composition, perfect symmetry, mirror-like balance, elements equally distributed on both sides, centered subject with balanced surroundings"
Espaço em Branco,Imagem,"ample white space, minimalist design with negative space, focus on subject surrounded by empty space, balanced use of blank areas for clarity"
Frame Rate (Vídeo),Vídeo,"frame rate: 24fps cinematic, 30fps streaming, 60fps slow motion"
Hierarquia Visual,Imagem,"strong visual hierarchy, main subject emphasized with larger size, primary element in vibrant color, secondary elements in muted tones, use of scale to highlight importance, leading lines directing attention to the focal point"
Interatividade - AR Glasses,Ambos,User wearing AR glasses interacting with holographic interfaces
Interatividade - VR Gamer,Ambos,VR gamer immersed in fantasy world with dragons and castles
Marketing - Automóveis,Ambos,"car commercial, dramatic angle, motion blur, urban environment, cinematic lighting"
Marketing - Comida / Bebida,Ambos,"food advertisement, vibrant colors, top-down view, fresh ingredients, rustic background"
Marketing - Cosméticos / Beleza,Ambos,"beauty product ad, soft lighting, close-up on skin texture, luxurious feel, pastel tones"
Marketing - Moda / Acessórios,Ambos,"fashion ad, model posing confidently, dynamic lighting, high-fashion styling, editorial quality"
Marketing - Produto Eletrônico,Ambos,"tech product advertisement, sleek design, minimalistic background, product in focus, futuristic lighting"
Marketing Avançado - Halloween,Ambos,"Halloween-themed advertisement with glowing jack-o'-lantern, autumn leaves, spooky typography"
Marketing Avançado - Produtos de Luxo (Perfume),Ambos,"High-end perfume bottle surrounded by delicate flowers, misty ambiance"
Marketing Avançado - Produtos de Luxo (Relógio),Ambos,"Luxury wristwatch on marble surface, soft shadows, golden highlights"
Marketing Avançado - Tecnologia (Laptop),Ambos,Modern laptop on minimalist desk with ambient lighting
Marketing Avançado - Tecnologia (Smartphone),Ambos,Smartphone floating above futuristic cityscape with neon lights
Marketing Avançado - Valentine's Day,Ambos,"Valentine's Day advertisement with heart-shaped balloons, red roses, soft pink lighting"
Narrativa Interativa - Branching Storyline,Ambos,Branching storyline interface with multiple choice options and dynamic backgrounds
Narrativa Interativa - Visual Novel,Ambos,Visual novel scene with expressive characters and dialogue boxes
Pacing / Ritmo (Vídeo),Vídeo,"pacing: fast cuts, slow contemplative shots, variable rhythm"
Perspectiva - Aérea (Atmosférica),Imagem,"aerial perspective, faded background, atmospheric depth"
Perspectiva - Forçada,Imagem,"forced perspective, optical illusion, manipulated scale"
Perspectiva - Linear (1 ponto),Imagem,"one-point perspective, converging lines, depth"
Perspectiva - Linear (2 pontos),Imagem,"two-point perspective, corner view, depth"
Perspectiva - Linear (3 pontos),Imagem,"three-point perspective, dramatic angle, towering height"
Proximidade,Imagem,"grouped elements to show relationship, related items placed close together, use of proximity for visual grouping, clustered objects indicating connection"
Repetição,Imagem,"repetitive patterns, consistent visual elements, repeating motifs, repetition of shapes or colors for unity"
Sound Design (Vídeo),Vídeo,"ambient sound: urban noise, nature sounds, sci-fi electronic hum, industrial noise"
Tipo de Personagem - Fantasia,Ambos,"fantasy character, elf ears, glowing eyes"
Tipo de Personagem - Futurista,Ambos,"cyberpunk character, augmented limbs, neon accents"
Tipo de Personagem - Homem,Ambos,"male character, masculine features, short hair"
Tipo de Personagem - Humano,Ambos,"realistic human character, natural proportions, lifelike features"
Tipo de Personagem - Mulher,Ambos,"female character, feminine features, long hair"
Tipo de Personagem - Não-binário,Ambos,"non-binary character, androgynous appearance, neutral features"
Ângulo de Câmera - Extra-Quadro,Imagem,"implied presence off-frame, suggesting something outside the frame, off-screen elements suggested, mysterious atmosphere beyond the scene"
Ângulo de Câmera - Regra dos 180 Graus,Imagem,"consistent camera axis, following the 180-degree rule, camera maintains visual continuity, characters facing each other across an imaginary line"
Ângulo de Câmera - Ângulo Alto (Plongée),Imagem,"high angle shot, camera looking down, view from above, bird's-eye view"
Ângulo de Câmera - Ângulo Baixo (Contra-Plongée),Imagem,"low angle shot, camera looking up, view from below, worm's-eye view"
Ângulo de Câmera - Ângulo Frontal,Imagem,"frontal view, camera directly in front of the subject, head-on angle"
Ângulo de Câmera - Ângulo Lateral (Perfil),Imagem,"side view, profile view, camera at the side of the subject"
Ângulo de Câmera - Ângulo Normal (Nível dos Olhos),Imagem,"eye-level angle, camera at eye level, natural perspective"
Ângulo de Câmera - Ângulo Traseiro,Imagem,"rear view, camera behind the subject, subject seen from behind"
Ângulo de Câmera - Ângulo ¾,Imagem,"three-quarter view, 3/4 angle, camera at 45-degree angle, subject turned slightly towards the camera"
