Categoria,Prompt Principal,Exemplo,Tipo,Bloco,Subcategoria
Branding - Flat Lay,"flat lay photography, arranged objects, overhead shot, clean composition",a flat lay of office supplies arranged neatly on a desk,Imagem,Imagem,Flat Lay
Branding - Minimalista,"minimalist branding shot, product isolated, ample white space",a perfume bottle isolated with ample white space for branding purposes,Imagem,Imagem,Minimalista
Branding - Mockup de Produto,"product mockup, blank label, realistic shadows, isolated on plain background",a mockup of a cosmetics bottle with a blank label and realistic shadows,Imagem,Imagem,Mockup
Editorial - Fashion,"high fashion editorial, avant-garde styling, unusual settings, dramatic contrast",a fashion spread with avant-garde outfits shot in an abandoned warehouse,Imagem,Imagem,Fashion
Editorial - Lifestyle,"lifestyle editorial, candid moments, natural settings, cozy vibes",a person enjoying coffee at home in a cozy lifestyle editorial shoot,Imagem,Imagem,Lifestyle
Editorial - Viagem,"travel editorial, scenic landscape, local culture, vibrant atmosphere",a scenic coastal town featured in a travel editorial,Imagem,Imagem,Viagem
Vídeo - Movimento de Câmera,"camera movement: dolly in, tracking shot, handheld style","a smooth dolly-in shot towards a subject, handheld shaky cam effect",Vídeo,Vídeo,
Vídeo - Frame Rate,"frame rate: 24fps cinematic, 60fps smooth motion",a cinematic video at 24fps with motion blur,Vídeo,Vídeo,
Vídeo - Design Sonoro,"ambient forest sounds, layered urban soundscape, sci-fi effects",a soundscape mixing forest sounds with distant city noises,Vídeo,Vídeo,
Ambientes Naturais,serene alpine meadow with wildflowers and snow-capped mountains,a tranquil alpine scene with blooming flowers and snowy peaks,Compartilhado,Compartilhado,
Criaturas Fantásticas,majestic dragon soaring above a medieval castle,a dragon flying majestically over a medieval fortress,Compartilhado,Compartilhado,
